pitcher_id,pitch_type,pitches,start_speed,ivb,hb,spin_rate,launch_angle,whiff rate,proportion
641312,FF,265,91.3,12.9,-0.1,2522.0,20.0,0.29508196721311475,0.275
641312,SI,138,91.9,11.5,11.2,2391.0,9.0,0.23076923076923078,0.143
641312,ST,122,81.5,1.3,-14.2,2803.0,25.0,0.3382352941176471,0.127
641312,CH,102,85.8,6.7,12.6,1526.0,6.0,0.2962962962962963,0.106
641312,,1,,,,,,nan,0.001
641312,FA,1,70.4,4.8,-16.6,2446.0,,nan,0.001
681084,FF,446,94.3,14.6,7.5,2088.0,12.0,0.16113744075829384,0.433
681084,FS,345,85.6,2.5,8.8,1095.0,13.0,0.48520710059171596,0.335
681084,SL,230,84.3,1.3,-1.1,2168.0,12.0,0.5531914893617021,0.223
681084,,8,,,,,,nan,0.008
681084,CH,1,83.6,-0.4,-15.5,1933.0,,nan,0.001
542882,FF,354,90.0,15.6,5.9,2321.0,20.0,0.1712707182320442,0.498
542882,FC,176,85.0,1.3,-0.5,2321.0,14.0,0.32894736842105265,0.248
542882,SI,104,89.1,6.0,14.1,2185.0,3.0,0.1276595744680851,0.146
542882,CU,56,79.3,-12.8,-7.4,2697.0,4.0,0.16666666666666666,0.079
542882,CH,21,85.6,1.6,5.7,2105.0,23.0,0.2727272727272727,0.03
678215,FF,723,94.2,16.2,11.3,2289.0,25.0,0.2808988764044944,0.571
678215,SL,460,82.7,4.8,-3.0,2199.0,22.0,0.2697095435684647,0.363
678215,FS,50,81.9,7.4,8.0,1170.0,25.0,0.2916666666666667,0.039
678215,CH,24,84.8,10.6,11.7,1716.0,27.0,0.2,0.019
678215,,10,,,,,,nan,0.008
683522,SI,530,96.2,8.8,13.3,2244.0,13.0,0.23076923076923078,0.658
683522,CH,135,87.2,2.1,16.3,2134.0,8.0,0.5192307692307693,0.167
683522,ST,130,83.7,5.1,-6.1,2327.0,10.0,0.52,0.161
683522,,10,,,,,,nan,0.012
683522,FF,1,96.7,15.0,7.9,2357.0,,1.0,0.001
701859,FF,1194,92.2,18.3,5.1,2435.0,28.0,0.2912621359223301,0.523
701859,FC,455,84.9,4.8,-4.5,2389.0,21.0,0.25268817204301075,0.199
701859,CU,310,75.6,-8.2,-10.6,2310.0,13.0,0.3418803418803419,0.136
701859,ST,240,78.8,0.9,-14.8,2361.0,24.0,0.2636363636363636,0.105
701859,CH,83,83.7,7.6,5.4,1806.0,15.0,0.3,0.036
701859,,3,,,,,,nan,0.001
676879,SI,665,93.7,7.6,-14.4,2078.0,-6.0,0.13671875,0.402
676879,SL,370,80.8,-5.3,10.4,2554.0,9.0,0.4329268292682927,0.224
676879,CH,254,88.0,5.5,-11.3,1735.0,-4.0,0.2677165354330709,0.154
676879,CU,248,79.7,-15.3,9.5,2585.0,-4.0,0.3424657534246575,0.15
676879,FF,116,94.1,13.0,-7.1,2136.0,15.0,0.1951219512195122,0.07
